"id.deidentified","Age","Gender","Race","Multi.racial","Class","income","ladder","Item1I","Use1I","Aware1I","Item2I","Use2I","Aware2I","Item3I","Use3I","Aware3I","Item4I","Use4I","Aware4I","OrderI_1_Group","OrderI_1_Rank","OrderI_2_Group","OrderI_2_Rank","OrderI_3_Group","OrderI_3_Rank","OrderI_4_Group","OrderI_4_Rank","Item1C","Use1C","Aware1C","Item2C","Use2C","Aware2C","Item3C","Use3C","Aware3C","Item4C","Use4C","Aware4C","OrderC_1_Group","OrderC_1_Rank","OrderC_2_Group","OrderC_2_Rank","OrderC_3_Group","OrderC_3_Rank","OrderC_4_Group","OrderC_4_Rank","iat","cgpa"
1,22,1,"7","",2,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,3,1,2,3,1,2,3,1,1,0,1,2,1,3,1,0.059688134,"3.93"
2,19,2,"7","",2,3,5,1,1,2,1,2,3,1,1,3,1,2,2,3,1,2,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596445517,"3.89"
3,21,2,"7","",3,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,3,1,3,3,1,3,1,1,1,0,1,2,1,3,1,1.052709053,"3.8"
4,21,2,"7","",3,4,7,1,3,2,1,4,2,1,4,3,1,4,2,3,1,1,1,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093537496,"3.3"
5,19,2,"7","",1,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,2,1,3,2,1,3,2,0,1,1,1,2,1,3,1,0.519925475,"3.5"
6,20,2,"7","",2,7,8,1,2,2,1,3,3,1,4,3,1,4,2,3,1,1,1,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.687497853,"3.51"
7,19,2,"7","",1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,3,3,1,3,3,1,2,2,1,1,0,1,2,1,3,1,0.567649035,"3.89"
8,19,1,"7","",1,5,9,1,3,3,1,4,3,1,4,1,1,3,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704586624,"3.5"
9,18,2,"2","",1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,3,1,3,3,1,2,1,1,1,0,1,2,1,3,1,0.649385659,"3"
10,20,1,"2","",2,3,6,1,2,2,1,2,3,1,3,2,1,2,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030520863,"3.71"
11,19,2,"7","",1,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,3,1,3,3,1,2,2,0,1,1,1,3,1,2,1,-0.083398263,"3.6"
12,19,2,"7","",1,4,7,1,2,2,1,2,3,1,3,1,1,3,2,0,1,3,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356474086,"3.575"
13,20,2,"7","",2,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,2,1,3,2,1,3,1,0,1,2,1,3,1,1,1,0.301686742,"3.78"
