id.deidentified,age,gender,race,race_TEXT,class,wc1,wc1use,wc1aware,wc1open,wc2,wc2use,wc2aware,wc2open,wc3,wc3use,wc3aware,wc3open,wc4,wc4use,wc4aware,wc4open,fd1,fd1use,fd1aware,fd1open,fd2,fd2use,fd2aware,fd2open,fd3,fd3use,fd3aware,fd3open,fd4,fd4use,fd4aware,fd4open,sesdiverse_4,sesdiverse_5,sescommi1,sescommi2,psc1r,psc2r,psc3,psc4r,psc5r,psc6,background,belong1,beluncert1,beluncert3,cgpa,income,ladder.r
1,22,2,2,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,Diverse,1,2,2,Bragging,1,2,1,60% is not that much ,1,1,2,"Biased, those who aren't work study eligible are not allowed to get jobs",15,85,3,2,5,5,5,5,3,3,2,5,6,6,3.2,8,4
2,18,1,7,,1,1,3,2,Wide area of academic knowledge,1,4,3,That it is prestigious,1,2,3,How expensive my education is and how I rely entirely on financial aid to attend here,1,1,3,Bunch of rich kids,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,25,75,2,5,5,6,2,7,6,5,2,3,7,7,3.68,3,6
3,21,2,2,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,1,A lot of resources,1,4,3,A leader in the field.,1,2,1,Did not provide a lot of financial aid to students.,1,3,2,Northwestern helps students to finance college.,10,90,4,3,6,6,1,7,6,1,4,4,5,4,3.89,4,4
4,20,2,7,,2,1,3,2,You can customize your education here and have the power of choice to do what you want to do,1,3,2,We're considered to have high-quality education.,1,2,1,"Northwestern thinks $58,429 is ""acceptable"".  We have a lot of wealthy people that go here, and there's very little financial aid so half of families need to cover it all themselves.  ",1,3,1,"We have a lot of alumni who are willing to donate back, showing strong ties.  ",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,40,60,5,3,4,3,5,4,4,3,3,4,5,7,3.6,8,3
5,20,2,7,,3,1,3,2,There are a lot of different opportunities.,1,3,3,NU is competitive with it's peer universities.,1,2,2,A Northwestern education is expensive and most people will have to pay this money out of pocket. This means that 1) NU students are very wealthy or 2) NU students have a ton of loans. Neither of these are particularly good.,1,2,1,"Again, NU students are wealthy.",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,40,60,3,5,2,2,6,1,1,6,1,6,2,2,3.57,9,3
6,19,2,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,4,2,It's diverse,1,4,1,It's presitgious,1,3,2,It helps students. ,1,3,2,It's passionate about education. ,50,50,6,6,6,6,6,2,2,6,6,2,5,7,3.8,5,3
7,21,2,7,,3,1,2,2,opportunities,1,4,3,"Competitive, high standards, achievement",1,2,3,"Rich, expensive, exclusive",1,3,2,Rich alumni,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,2,3,5,7,1,6,7,1,6,7,3,1,3.93,3,8
8,21,2,7,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,,1,3,3,,1,2,2,,1,3,2,,40,60,5,6,5,4,5,4,4,5,3,6,3,5,3.7,6,4
9,20,2,2,,2,1,3,1,It's very diverse,1,3,3,That smart people attend,1,2,2,Many students at Northwestern at rich,1,2,1,Northwestern has money to put to scholarships.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,5,6,5,6,2,7,5,3,1,7,6,2,3.51,3,6
10,20,2,2,,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Has lots of avenues a student can choose from to pursue their passions ,1,3,3,Northwestern's reputation will help students go further and be recognized by important people,1,3,3,Northwestern helps students who cannot afford a quality education otherwise to achieve their goals,1,3,3,See above. I am proudly one of those work study students! :),25,75,6,6,4,2,5,6,3,4,1,6,4,1,3.703,1,5
11,22,2,7,,4,1,3,2,"Lots of opportunity and variety--positive, individualistic.",1,3,3,"Well-known, renowned, successful",1,2,2,"People still have enough money to manage that cost, which to me appears to be a large amount of money. It makes me think there isn't as much class diversity as I would like.",1,1,1,People have a lot of money,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,40,60,5,7,2,1,6,2,3,6,2,6,5,4,3.7,8,4
12,21,1,2,,4,1,1,2,Lots of diversity in course offerings.,1,3,3,It used to be #12 when I came to Northwestern. Now it is #13. It is a shame.,1,3,3,"It is way too expensive. Absolutely ridiculous despite Morty's continued speeches in which he gives speeches on providing ""reasonably-priced high-quality"" education. Such BS. ",1,3,3,NU admits a number of very wealthy parents' kids to maintain and grow its endowment.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,2,1,3,7,5,4,3,4,6,1,2,7,3.75,5,4
