id.deidentified,Ntrl1,Ntrl1Use,Ntrl1Aware,Ntrl1Open,Ntrl2,Ntrl2Use,Ntrl2Aware,Ntrl2Open,WC1,WC1Use,WC1Aware,WC1Open,WC2,WC2Use,WC2Aware,WC2Open,Ntrl3,Ntrl3Use,Ntrl3Aware,Ntrl3Open,Ntrl4,Ntrl4Use,Ntrl4Aware,Ntrl4Open,FD1,FD1Use,FD1Aware,FD1Open,FD2,FD2Use,FD2Aware,FD2Open,Gender,Age,Class,PSF1r,PSF2r,PSF3,PSF4r,PSF5r,PSF6,Belonging1,Belonging2,Belonging3,GPA,USldr,Income
33,,,,,,,,,,,,,,,,,1,1,2,Academically diverse,1,2,3,Academically competitive,1,2,2,Only 60% though? More people need it,1,3,1,,2,20,3,5,2,5,5,3,5,1,4,6,3.4,4,5
34,1,1,2,"Though not super descriptive, it tells me Northwestern has a diverse curriculum. ",1,4,3,That it is a very competitive and well respected school and those who attend Northwestern will likely find jobs after graduation.  ,1,3,3,"By saying half the families could manage without financial aid makes it seem like they may not have the resources to provide, which going to this school I know is absolutely not true.  ",1,4,1,That they are very willing to help students pay for Northwestern and that they have the resources to help all types of students.  ,,,,,,,,,,,,,,,,,2,20,3,2,4,3,5,2,5,7,5,2,3.3,3,5
35,,,,,,,,,,,,,,,,,1,2,2,,1,3,3,,1,2,2,,1,1,1,,2,19,2,4,3,4,2,4,4,5,6,6,3.68,5,9
36,1,1,2,Diverse,1,2,3,Competitive,1,2,2,Expensive,1,1,2,Well funded,,,,,,,,,,,,,,,,,2,19,2,3,5,5,4,2,3,6,5,5,2.9,3,9
37,,,,,,,,,,,,,,,,,1,2,1,It makes me think that Northwestern offers many opportunities. ,1,3,3,Northwestern is a successful school. ,1,3,2,Northwestern has money. ,1,3,2,Northwestern can help its students afford college. ,2,19,2,2,2,3,2,2,6,6,2,2,3.725,1,7
38,,,,,,,,,,,,,,,,,1,1,2,That the classes are broad but the majors are not. ,1,2,3,That it's a very good school. ,1,2,2,That they give aid but also it doesn't say who gets it also 60% of all the kids means 40% are paying 60k a year which is highly expensive,1,3,2,They help students who need aid somewhat,2,19,2,3,4,5,5,1,6,7,2,2,3.5,4,5
39,1,3,3,It is diverse,1,4,3,It is prestigious and internationally recognized ,1,2,3,They give a lot of financial aid ,1,1,1,It is supported ,,,,,,,,,,,,,,,,,2,19,2,1,2,5,1,1,6,7,1,2,3.45,1,8
40,,,,,,,,,,,,,,,,,1,3,2,There are many options for what major/career students can pursue.,1,4,2,"That Northwestern is a top tier school, which can also cause some competitiveness amongst students.",1,2,2,There are a range of socioeconomic statuses at Northwestern.,1,1,1,Many students are on financial aid.,2,19,2,2,2,6,1,4,5,7,2,2,3.9,3,8
41,,,,,,,,,,,,,,,,,1,2,2,It is diverse ,1,3,3,It is intellectual,1,1,2,It is diverse ,1,1,2,The school has a lot of money,2,20,2,3,3,7,5,3,5,5,7,6,3,3,7
42,1,3,1,Studious academic,1,3,3,"Smart kids, competitive",1,2,2,Rich,1,3,2,"Big donors, lots of money",,,,,,,,,,,,,,,,,2,21,4,3,2,6,2,2,6,6,5,6,3.62,2,9
43,1,2,3,That it's diverse.,1,2,2,It is a school that offers a good academic program,1,2,3,That they have an ill-perceived notion that the tuition is actually truly manageable.,1,1,3,We have great student callers who love the school.,,,,,,,,,,,,,,,,,2,20,3,4,7,4,5,4,5,6,7,6,3.43,8,1
44,,,,,,,,,,,,,,,,,1,3,2,It's very diverse and suits many academic interests,1,2,3,NU is really reputable and prestigious,1,2,2,NU is accessible to lower income families and families who would require financial aid,1,2,3,There are diverse opportunities for students to work in exchange for financial aid.,2,20,3,3,3,2,2,6,5,6,7,6,3.6,2,9
45,,,,,,,,,,,,,,,,,1,1,2,Many options,1,4,3,Prestigious,1,3,3,"Not a very high percent are receiving financial aid, doesn't specify how much aid they are receiving. ""Extremely"" is an overstatement.",1,3,3,"This statement has no context for how the Work Study money is distributed, how many students are able to earn their allotment, etc.",2,20,4,5,6,3,7,3,3,5,6,5,3.69,3,5
46,1,3,2,Diverse,1,3,3,Competitive,1,2,1,People who come here tend to be rich,1,3,1,Families and alumni rich and invested in Northwestern,,,,,,,,,,,,,,,,,2,21,4,2,2,5,3,2,6,7,3,2,3.91,1,9
47,1,4,2,lots of opportunity,1,2,3,"good school, reputation",1,1,3,"bullshit. ""managed"" AKA struggled through with sleepless nights.",1,3,2,,,,,,,,,,,,,,,,,,2,21,4,2,4,5,3,2,6,6,3,6,3.6,2,9
48,,,,,,,,,,,,,,,,,1,1,2,Not much? Seems a little overwhelming. ,1,2,2,the US world news rankings mainly rely on alumni donor reports--I don't assign much value to it. ,1,2,2,Good things! I'm glad to hear there are more people receiving financial aid than I thought. ,1,3,2,Great things--nearly the same as above. ,2,21,4,3,3,5,5,3,5,5,4,3,3.5,2,6
49,,,,,,,,,,,,,,,,,1,3,1,There must be a diverse crowd of students' interests in order to have 80 majors.,1,3,3,Northwestern students are high-achievers/ hard-workers to be able to get into a school like that. ,1,2,2,Northwestern must be ridiculously expensive if over half the students are on financial aid. ,1,1,2,"Good, however, many students do not qualify for work-study. ",2,21,4,3,5,3,5,1,5,4,5,4,3.47,2,9
50,,,,,,,,,,,,,,,,,1,1,2,big,1,1,3,nothing in particular - it's a pretty general statement that provides no stats,1,3,2,helpful,1,2,2,I don't know - $2.8 million is a big number that I can't really wrap my head around,2,21,4,5,3,6,1,1,6,5,5,3,3.86,2,6
51,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,
52,1,3,2,,1,4,3,,1,1,2,,1,3,1,,,,,,,,,,,,,,,,,,2,21,4,6,7,2,7,7,6,6,4,4,3.6,5,3
53,,,,,,,,,,,,,,,,,1,2,1,lots of options. intellectually stimulated.,1,3,3,Its a smart place. People see Northwestern as a smart place. ,1,3,2,Socioeconomically diverse. But also a large portion of really rich kids.,1,3,1,Helpful.,2,18,1,4,2,6,1,2,6,5,6,5,,1,8
54,,,,,,,,,,,,,,,,,1,2,2,academic,1,3,3,awesome,1,3,2,we dont have to pay the full tutiton ,1,2,1,work study happens,1,18,1,3,5,5,3,4,6,6,3,1,,5,6
55,,,,,,,,,,,,,,,,,1,4,2,There are a lot of options!,1,2,3,That we rely on unreliable rankings to boost our school.,1,4,2,They inflate numbers because most people I know including myself didn't get aid.,1,2,2,Not much.,2,18,1,3,3,4,2,2,2,3,6,6,,1,8
32,,,,,,,,,,,,,,,,,1,2,1,There are a lot of options,1,3,1,well-known school,1,3,1,It is a socioeconomically diverse,1,2,1,It is easy to find a way to make money,2,18,6,,,,,,,,,,,8.5,
31,1,1,2,big and overwhelming,1,2,3,"""recognized"" is very vague",1,3,2,half of families manage with no aid?!? jeez,1,3,2,rich alums,,,,,,,,,,,,,,,,,2,20,2,2,2,5,2,2,3,6,2,2,3.93,10,7
30,,,,,,,,,,,,,,,,,1,2,3,that its diverse and offers a wide range of classes,1,3,3,that we have good professors and classes,1,3,2,that we are willing to help make nu a viable option for people,1,3,2,same as above- we offer a lot of different options,2,19,2,2,2,5,2,2,5,7,4,2,3.5,10,6
29,1,3,2,diverse,1,2,3,its a little wordy,1,2,2,"expensive, privileged",1,2,2,,,,,,,,,,,,,,,,,,2,20,4,4,4,5,5,2,4,5,6,5,3.8,6.5,6
28,1,2,2,diverse-many options,1,2,3,talented group of individuals w top notch programs,1,2,3,economically diverse,1,2,3,generous,,,,,,,,,,,,,,,,,1,19,2,5,5,2,6,6,4,7,4,4,3.75,5.5,3
27,,,,,,,,,,,,,,,,,1,2,2,"diverse, well rounded",1,3,3,we're awesome,1,3,3,accepting,1,2,1,awesome,1,19,2,7,5,4,5,4,4,7,6,4,3.182,10.5,6
26,1,2,2,lots of opportunities,1,1,3,"research is the only thingus newa cares about, so we're rich yay?",1,4,2,need more economic variety,1,2,2,so much money. we must have a huge portfolio,,,,,,,,,,,,,,,,,1,20,3,1,2,5,3,3,5,7,2,1,3.2,10.5,8
25,1,2,2,cool place I'm at,1,3,3,go cats,1,1,2,we are accepting all people regardless of financial condition,1,3,2,always home to its students!,,,,,,,,,,,,,,,,,2,18,1,4,4,5,2,2,6,6,6,5,,7.5,9
24,1,2,2,lots of pre professional majors,1,4,3,"academicall rigorous, prestigious",1,3,2,wealthy,1,3,2,community,,,,,,,,,,,,,,,,,1,27,5,2,5,3,3,4,4,6,4,3,3.94,9,8
23,,,,,,,,,,,,,,,,,1,2,2,there are a lot of learning options,1,2,3,it is high in caliber,1,2,3,economic diversity,1,2,3,students are provided with the help they need,2,19,2.5,2,2,5,2,2,5,,3,2,3.78,9,7
22,1,2,2,wide range of options,1,3,4,competitive,1,3,3,expensive,1,3,2,generous,,,,,,,,,,,,,,,,,2,20,3,5,5,5,3,3,4,6,3,2,3.4,6,3
21,,,,,,,,,,,,,,,,,1,1,2,lots of opportunities,1,3,3,hardworking,1,3,3,accepting,1,3,2,helpful to students of all backgrounds,2,18,1,4,4,6,3,2,6,4,5,5,,8.5,7
20,1,2,2,lots of options,1,4,3,very academically rigorous,1,2,2,its expensive,1,3,2,wanna help me pay my tuition more?,,,,,,,,,,,,,,,,,2,19,3,2,2,3,2,2,3,7,2,2,3.7,10.5,8
19,,,,,,,,,,,,,,,,,1,1,2,huge,1,3,3,great,1,2,2,good,1,2,2,lol,1,19,3,1,4,2,2,2,5,6,1,1,3.77,10.5,9
