id.deidentified,Age,Gender,Race,Multi.racial,Class,Income,SSID1,SSID2,SSID3r,SSID4,SSID5,SSID6r,Eff1,Eff2,Eff3,Eff4,Eff5,USldr
316,18,2,7,,1,,4,2,6,2,,6,6,7,7,5,6,8.5
317,18,2,2,,1,9,1,1,5,2,1,6,6,6,7,7,6,10
318,19,2,7,,1,6,4,3,5,4,2,4,6,7,7,6,7,7.5
319,18,1,4,,1,9,7,4,5,3,3,4,1,7,7,7,7,8.5
320,18,2,7,,1,7,5,4,2,2,5,6,3,2,4,6,6,8.5
321,20,1,7,,2,9,,,,,,,7,6,6,,,10
322,20,1,7,,2,9,,,,,,,,,,,,
323,18,2,2,,1,5,2,5,5,3,2,6,6,5,6,6,6,7
324,20,1,7,,3,8,4,5,5,3,3,5,6,6,6,5,6,9.5
325,19,1,7,,2,9,2,1,6,2,2,6,5,2,3,5,3,9.5
326,18,2,3,,1,7,4,4,3,6,4,4,4,5,3,3,6,8
328,18,2,8,mexican american,1,9,,,,,,,,,,,,
329,18,2,4,,1,2,6,5,1,6,6,1,5,3,4,3,4,5
330,20,2,7,,3,6,,,,,,,,,,,,
332,21,2,2,,1,,4,4,4,4,4,4,6,4,4,4,6,
333,18,1,7,,1,4,3,2,4,1,1,7,3,3,7,5,5,4.5
334,18,2,7,,1,4,6,3,6,6,3,5,3,4,5,5,5,6
335,18,2,7,,1,1,5,5,2.5,5,4,5,6,6,6,5,6,6
336,18,2,7,,1,7,2,2,4,2,2,5,6,6,6,6,6,9
337,19,2,7,,1,5,4,5,3,6,3,4,5,5,4,5,5,
338,18,1,2,,1,6,3,2,5,3,2,5,5,5,5,5,5,7
339,18,1,7,,1,8,4,4,7,4,4,7,6,7,6,4,4,7
340,18,1,7,,1,9,,,,,,,,,,,,
341,19,2,7,,2,9,2,2,5,2,2,6,6,2,3,3,4,10
342,20,1,7,,3,4,5,4,3,5,2,5,2,5,6,6,3,7
343,19,2,2,,1,7,3,3,4,5,3,4,5,4,5,3,5,8
344,18,2,7,,1,6,2,2,4,3,3,5,5,3,3,5,5,8
345,19,2,2,,1,,6,6,2,6,6,3,5,5,5,3,5,
348,18,1,7,,1,,3,3,5,3,2,5,4,3,4,5,5,8.5
349,18,1,2,,1,,,,,,,,,,,,,
350,18,1,2,,1,2,,,,,,,,,,,,
351,19,2,7,,2,5,2,2,4,2,2,4,7,7,6,7,7,6.5
352,21,1,7,,4,,6,5,5,4,4,4,5,3,2,5,4,6
353,18,1,7,,1,5,,,,,,,,,,,,
354,18,1,7,,1,8,3,3,5,5,3,5,5,5,6,5,6,7.5
355,19,1,7,,1,1,3,7,1,5,5,4,6,4,5,5,5,7
356,19,2,7,,1,,4,2,5,4,4,5,4,3,5,6,5,8.5
358,18,2,2,,1,9,,,,,,,,,,,,
359,18,1,7,,1,7,2,6,5,3,3,4,7,3,5,2,7,9
360,18,1,7,,1,5,4,3,5,4,3,5,3,3,4,4,5,7.5
361,18,2,7,,1,9,,,,,,,,,,,,
362,18,1,7,,1,5,4,5,4,6,4,4,5,4,5,6,6,5
363,19,2,3,,2,3,6,6,3,6,5,3,5,5,5,6,6,4.5
364,18,2,7,,1,9,,,,,,,,,,,,
365,19,1,7,,1,2,,,,,,,,,,,,
366,19,1,7,,2,9,,,,,,,,,,,,
367,18,1,8,"latino,white,native american",1,7,,,,,,,,,,,,
368,18,2,2,,1,1,,,,,,,,,,,,
369,18,2,7,,1,9,3,6,6,1,1,5,5,5,6,5,5,
370,18,2,4,,1,5,1,1,6,1,2,6,7,7,7,6,7,10
371,18,2,2,,1,,,,,,,,,,,,,
372,18,2,7,,1,9,2,1,4,4,4,5,6,6,6,6,6,10.5
373,19,1,2,,2,9,4,5,5,6,2,5,7,4,5,6,7,8
374,19,2,7,,1,9,2,2,6,3,1,7,5,5,5,6,6,10.5
375,19,2,2,,1,3,,,,,,,,,,,,
376,18,2,8,"latina, white",1,3,,,,,,,,,,,,
377,19,1,2,,1,7,,,,,,,,,,,,
378,19,1,8,"black,white",1,2,,,,,,,,,,,,
379,19,1,7,,2,9,,,,,,,,,,,,
380,19,2,3,,1,2,,,,,,,,,,,,
381,19,1,3,,2,5,,,,,,,,,,,,
382,18,1,2,,1,6,,,,,,,,,,,,
383,19,2,8,"white, latino",1,,2,2,1,5,5,5,4,2,3,6,4,6.5
384,18,2,8,"asian,european",1,7,5,3,4,5,3,5,5,4,5,5,5,7
385,19,1,2,,1,3,,,,,,,,,,,,
386,19,1,7,,1,9,,,,,,,,,,,,
387,19,1,7,,1,9,,,,,,,,,,,,
388,19,2,7,,2,3,1,1,7,4,4,7,7,7,7,6,7,8
389,19,1,7,,2,9,2,2,4,4,3,5,2,4,4,5,5,9.5
390,18,1,7,,2,3,6,7,2,6,6,2,5,5,6,5,6,4
391,18,2,7,,1,4,4,5,2,6,7,3,6,6,6,6,6,6
392,19,1,7,,1,9,1,1,5,1,7,5,6,7,7,7,7,10.5
393,18,2,7,,1,,,,,,,,,,,,,
394,20,1,2,,2,4,3,3,3,6,4,5,7,7,7,7,7,5.5
395,18,2,7,,1,,2,2,5,3,2,6,6,6,6,6,6,10.5
396,19,2,7,,1,9,2,2,2,2,6,3,6,5,6,6,4,10
397,19,2,7,,1,,7,5,1,6,3,2,1,5,5,4,3,6.5
398,19,2,2,,2,6,4,5,3,6,4,5,5,3,5,6,2,5.5
399,18,2,7,,1,,3,1,4,3,3,5,4,3,3,5,5,8.5
400,19,2,7,,1,7,3,3,6,4,1,5,5,7,6,6,7,8
401,19,1,7,,1,4,2,1,5,5,1,5,6,6,2,5,5,8.5
402,18,2,7,,1,7,1,2,7,2,1,5,6,7,7,7,7,7
403,18,1,7,,1,7,2,3,3,2,3,3,7,6,6,6,4,10
404,18,2,4,,1,3,5,6,2,7,6,4,6,4,6,4,6,6
405,19,1,7,,1,6,3,2,3,3,2,3,6,6,6,6,6,7.5
406,19,2,7,,1,1,1,3,7,1,1,1,7,7,7,7,7,9.5
407,20,1,7,,2,8,,,,,,,,,,,,
408,19,2,7,,1,8,3,4,6,3,2,7,2,2,5,5,6,10
409,18,2,7,,1,8,2,3,6,2,2,7,6,6,6,3,6,8.5
410,19,2,2,,1,9,2,2,2,2,5,4,5,6,6,7,7,9
411,18,1,7,,1,5,6,3,5,3,2,3,5,3,5,5,5,9.5
412,19,2,7,,1,8,4,3,6,4,3,5,5,5,4,5,5,8
413,22,1,7,,4,,3,5,2,2,3,3,7,7,6,3,7,6
414,21,1,7,,4,,,,,,,,,,,,,
415,18,1,7,,1,8,3,2,4,4,4,5,6,6,6,3,6,7.5
416,19,1,7,,1,9,2,4,4,2,3,6,7,5,6,4,5,10
417,19,2,7,,1,9,1,5,6,1,2,2,7,7,7,5,7,7.5
418,20,1,7,,4,8,6,7,3,7,3,3,7,7,7,2,7,9
419,20,2,7,,3,8,4,6,6,3,2,3,1,4,2,2,2,8
420,18,2,7,,1,9,4,6,5,1,4,4,6,6,6,5,6,9
421,19,2,7,,1,9,2,1,5,1,1,3,5,2,2,2,5,10
422,18,2,7,,1,9,3,6,2,2,2,3,6,6,5,4,5,10
423,18,1,8,india/filipino/white,1,,4,3,6,2,1,2,5,3,6,2,5,9
424,18,2,7,,1,6,,,,,,,,,,,,
426,19,1,3,,1,3,3,5,1,6,6,2,4,4,6,6,6,2.5
427,18,2,7,,1,5,4,7,2,7,5,4,4,4,5,5,4,6
428,20,1,7,,2,9,2,4,5,2,2,5,3,6,7,7,6,9
429,20,1,7,,2,5,1,1,6,1,1,6,6,5,6,7,4,8.5
431,19,1,7,,2,6,4,7,2,6,4,2,2,2,2,6,5,7
432,18,2,7,,1,3,,,,,,,,,,,,
433,20,1,2,,2,7,,,,,,,,,,,,
434,19,2,2,,1,6,3,4,2,4,3,2,7,6,6,6,6,5
435,18,1,7,,2,,,,,,,,,,,,,
436,18,2,7,,1,,1,2,4,1,1,5,2,5,6,3,6,9
437,19,1,7,,1,3,3,5,3,5,3,6,6,6,7,6,6,7.5
438,18,2,7,,1,1,3,7,1,6,4,3,3,3,5,6,3,6
439,18,2,7,,1,,5,6,3,4,1,4,6,4,5,7,7,9.5
440,18,1,7,,1,4,,,,,,,,,,,,
441,19,2,7,,1,,,,,,,,,,,,,
442,19,1,7,,2,4,,,,,,,,,,,,
443,19,1,2,,2,7,3,3,3,6,2,5,7,7,7,2,7,8
444,18,1,7,,1,9,4,3,6,4,4,6,7,6,5,6,7,8.5
445,19,1,7,,2,5,,,,,,,,,,,,
446,18,2,2,,1,6,3,2,5,6,3,5,5,5,5,5,6,6.5
447,19,1,7,,1,9,,,,,,,,,,,,
448,19,2,4,,1,3,,,,,,,,,,,,
449,19,2,7,,1,9,,,,,,,,,,,,
450,18,2,7,,1,4,,,,,,,,,,,,
451,22,2,2,,3,4,2,6,6,2,6,6,6,5,6,7,6,10
452,18,2,8,"black,white",1,3,4,3,5,6,2,5,5,5,5,6,4,5.5
453,18,2,7,,1,,,,,,,,,,,,,
454,19,2,2,,1,5,,,,,,,,,,,,
455,18,1,7,,1,,,,,,,,,,,,,10.5
456,18,2,2,,1,8,4,2,6,1,1,6,3,3,6,6,6,9.5
457,18,1,7,,1,5,4,3,4,6,2,6,5,4,4,4,4,10.5
459,18,2,7,,1,3,,,,,,,,,,,,
460,18,1,7,,1,5,,,,,,,,,,,,
461,18,1,7,,1,9,,,,,,,,,,,,
462,19,1,8,"asian,white",1,9,2,2,4,3,3,,5,6,6,6,7,9
463,19,1,7,,2,7,4,4,5,4,4,5,3,3,5,2,6,8.5
464,19,2,7,,1,5,2,4,3,6,5,5,7,6,6,4,6,7
465,18,1,7,,1,5,5,5,7,4,2,6,7,7,6,5,6,
466,18,1,7,,1,9,1,1,3,2,3,4,2,5,5,2,5,9.5
467,18,1,7,,1,7,2,4,5,3,5,4,5,5,5,3,6,9
468,18,1,2,,1,3,,,,,,,,,,,,
469,19,2,2,,1,8,,,,,,,,,,,,
470,19,1,7,,1,5,4,5,3,5,4,3,5,6,5,5,6,5.5
471,22,1,2,,4,3,4,5,4,5,5,5,5,5,5,6,4,9
472,18,1,2,,1,9,,,,,,,,,,,,
473,19,2,7,,2,7,6,4,3,5,3,5,1,1,1,1,2,7
474,18,2,7,,1,1,,,,,,,,,,,,
476,18,2,7,,1,3,6,6,2,7,7,5,6,6,6,6,7,6
477,18,2,7,,1,3,5,6,1,7,7,3,3,2,2,5,2,7
